# schema	function	args	returns	volatility	security_definer	body_sha256
public	gin_extract_query_numeric	numeric, internal, smallint, internal, internal	internal	i	f	326badeb38e05e0a158ca98bc8b9a8c90ac25fe308bf6b91bd97c175b2531ca8
public	gin_extract_query_oid	oid, internal, smallint, internal, internal	internal	i	f	c37dd3009ff3cc2a8be160c36b40c8adc3f6af9632349184e68ed17fea755de7
public	gin_extract_query_text	text, internal, smallint, internal, internal	internal	i	f	6049012b54d2adf258730f4af4a9124d058d023ac500d330f8908e32affd1c50
public	gin_extract_query_time	time without time zone, internal, smallint, internal, internal	internal	i	f	89dda445e35754e16ddacf83e6150043329d4924a384f8373c42022ef24fa244
public	gin_extract_query_timestamp	timestamp without time zone, internal, smallint, internal, internal	internal	i	f	f09b34750b0a76972eaa98d8fa49096de54557defdb33db34fe246ec036a096e
public	gin_extract_query_timestamptz	timestamp with time zone, internal, smallint, internal, internal	internal	i	f	d964797e280257cab722ebd9a358202e96ec6e112c230a49fae12ed6a32e1b4b
public	gin_extract_query_timetz	time with time zone, internal, smallint, internal, internal	internal	i	f	f338e83bc91930e263956c3779c0e4dc06ae6ae6e14a315da2f4c75a9f6cca6d
public	gin_extract_query_trgm	text, internal, smallint, internal, internal, internal, internal	internal	i	f	707eff1395ba44e5df4700aaefaf08d7c4b614cd270a236edf58969099b997d8
public	gin_extract_query_uuid	uuid, internal, smallint, internal, internal	internal	i	f	fcfa0d7834b2a5809a3ea44256e7393f4bde11d673f5e25f8e66e938cd1782ce
public	gin_extract_query_varbit	bit varying, internal, smallint, internal, internal	internal	i	f	cba482f09efdb1fc11a5eed5f2cb277f7ecdfe4cadc39b8fda261c1420026afb
public	gin_extract_value_anyenum	anyenum, internal	internal	i	f	c929b0ce3df3963b01f5a023fa62569da022c22c156981d152e9c32153e1ffcc
public	gin_extract_value_bit	bit, internal	internal	i	f	19372a442dc076d508d3a8aa6d6acbaf43c6516e85b233f3b08c85c32b8d55cb
public	gin_extract_value_bool	boolean, internal	internal	i	f	fe703892d792e623946a9d4dd76e1629c7e9a0afce1ba37121bd2d9f4c848586
public	gin_extract_value_bpchar	character, internal	internal	i	f	bfbb304ae9f4a3bbe6662ba058ee6e30c1702c57041582307d059a796c73b80f
public	gin_extract_value_bytea	bytea, internal	internal	i	f	ea90d52fa55be01a1f32d25db9029f7cc4a8ab65a1e3f6d7589e6e35c0367241
public	gin_extract_value_char	"char", internal	internal	i	f	b0faff5150b6a1e729e4d368a7a3a05d5e69625870a834b3445d29b9c85c3d0a
public	gin_extract_value_cidr	cidr, internal	internal	i	f	b372e78e06c439e074a14046ae18997c361c08886ae13db7a3b35b3138598003
public	gin_extract_value_date	date, internal	internal	i	f	5953e098566a94f0dfe8c51e046fafaf79c8c31558385df196672d3e7ebceb00
public	gin_extract_value_float4	real, internal	internal	i	f	2031136781489b74a0530e7bf9187848b0c819bb86c559720d9b1808d745f8bb
