# table	grantee	privileges
hr_emergency_contacts	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_emergency_contacts	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_emergency_contacts	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_employee_documents	anon	REFERENCES,TRIGGER,TRUNCATE
hr_employee_documents	app_user	DELETE,INSERT,SELECT,UPDATE
hr_employee_documents	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_employee_documents	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_employee_documents	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_employment_history	anon	REFERENCES,TRIGGER,TRUNCATE
hr_employment_history	app_user	DELETE,INSERT,SELECT,UPDATE
hr_employment_history	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_employment_history	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_employment_history	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_feedback	anon	REFERENCES,TRIGGER,TRUNCATE
hr_feedback	app_user	DELETE,INSERT,SELECT,UPDATE
hr_feedback	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_feedback	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_feedback	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_goals	anon	REFERENCES,TRIGGER,TRUNCATE
hr_goals	app_user	DELETE,INSERT,SELECT,UPDATE
hr_goals	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_goals	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_goals	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_tasks	anon	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_tasks	app_user	DELETE,INSERT,SELECT,UPDATE
hr_onboarding_tasks	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_tasks	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_onboarding_tasks	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_template_tasks	anon	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_template_tasks	app_user	DELETE,INSERT,SELECT,UPDATE
hr_onboarding_template_tasks	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_template_tasks	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_onboarding_template_tasks	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_templates	anon	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_templates	app_user	DELETE,INSERT,SELECT,UPDATE
hr_onboarding_templates	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_onboarding_templates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_onboarding_templates	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_review_cycles	anon	REFERENCES,TRIGGER,TRUNCATE
hr_review_cycles	app_user	DELETE,INSERT,SELECT,UPDATE
hr_review_cycles	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_review_cycles	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_review_cycles	service_role	REFERENCES,TRIGGER,TRUNCATE
