# table	constraint	type	definition
firm_departments	firm_departments_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_departments	fk_firm_departments_location_id	f	FOREIGN KEY (location_id) REFERENCES firm_locations(id)
firm_departments	fk_firm_departments_parent_department_id	f	FOREIGN KEY (parent_department_id) REFERENCES firm_departments(id)
firm_holidays	firm_holidays_pkey	p	PRIMARY KEY (id)
firm_holidays	firm_holidays_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_holidays	firm_holidays_tenant_id_holiday_id_key	u	UNIQUE (tenant_id, holiday_id)
firm_holidays	fk_firm_holidays_location_id	f	FOREIGN KEY (location_id) REFERENCES firm_locations(id) ON DELETE CASCADE
firm_job_levels	firm_job_levels_pkey	p	PRIMARY KEY (id)
firm_job_levels	firm_job_levels_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_job_levels	fk_firm_job_levels_job_title_id	f	FOREIGN KEY (job_title_id) REFERENCES firm_job_titles(id) ON DELETE CASCADE
firm_job_titles	firm_job_titles_pkey	p	PRIMARY KEY (id)
firm_job_titles	firm_job_titles_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_locations	firm_locations_pkey	p	PRIMARY KEY (id)
firm_locations	firm_locations_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_locations	firm_locations_tenant_id_location_code_key	u	UNIQUE (tenant_id, location_code)
firm_payroll_policies	firm_payroll_policies_pkey	p	PRIMARY KEY (id)
firm_payroll_policies	firm_payroll_policies_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_payroll_policies	firm_payroll_policies_workweek_start_day_check	c	CHECK (((workweek_start_day >= 0) AND (workweek_start_day <= 6)))
firm_payroll_policies	fk_firm_payroll_policies_location_id	f	FOREIGN KEY (location_id) REFERENCES firm_locations(id)
hr_attendance	hr_attendance_pkey	p	PRIMARY KEY (id)
hr_attendance	hr_attendance_tenant_id_attendance_id_key	u	UNIQUE (tenant_id, attendance_id)
hr_attendance	hr_attendance_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_benefits_enrollments	hr_benefits_enrollments_pkey	p	PRIMARY KEY (id)
hr_benefits_enrollments	hr_benefits_enrollments_tenant_id_enrollment_id_key	u	UNIQUE (tenant_id, enrollment_id)
hr_benefits_enrollments	hr_benefits_enrollments_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_change_requests	hr_change_requests_pkey	p	PRIMARY KEY (id)
hr_change_requests	hr_change_requests_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_change_requests	hr_change_requests_tenant_id_request_id_key	u	UNIQUE (tenant_id, request_id)
hr_company_news	fk_hcn_author	f	FOREIGN KEY (author_employee_id) REFERENCES employees(id) ON DELETE SET NULL
hr_company_news	fk_hcn_group	f	FOREIGN KEY (audience_group_id) REFERENCES employee_user_groups(id) ON DELETE SET NULL
hr_company_news	fk_hcn_subject	f	FOREIGN KEY (subject_employee_id) REFERENCES employees(id) ON DELETE SET NULL
hr_company_news	hr_company_news_pkey	p	PRIMARY KEY (id)
