# table	policy	command	roles	using	with_check
payroll_india_tax_declarations	payroll_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
payroll_india_tax_declarations	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_pay_schedules	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_run_employees	payroll_delete	DELETE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	
payroll_run_employees	payroll_insert	INSERT	public		( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_run_employees	payroll_update	UPDATE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_run_employees	payroll_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
payroll_run_employees	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_runs	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_tax_deposits	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_tax_rates	tenant_isolation	ALL	public	((tenant_id IS NULL) OR (tenant_id = app.current_tenant_id()))	(tenant_id = app.current_tenant_id())
payroll_tax_withholding_certificates	payroll_delete	DELETE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	
payroll_tax_withholding_certificates	payroll_insert	INSERT	public		( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_tax_withholding_certificates	payroll_update	UPDATE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_tax_withholding_certificates	payroll_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
payroll_tax_withholding_certificates	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
pii_erasures	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
pii_keys	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
pm_automation_executions	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
pm_automations	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
pm_dashboard_widgets	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
