# table	pos	column	type	not_null	default
compensation_work_schedules	15	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_work_schedules	16	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_work_schedules	17	created_by	uuid	f	
compensation_work_schedules	18	schedule_id	text	f	
compensation_work_schedules	19	is_active	boolean	f	true
cross_module_links	1	id	uuid	t	gen_random_uuid()
cross_module_links	2	tenant_id	uuid	t	
cross_module_links	3	source_module	text	t	
cross_module_links	4	source_entity_type	text	t	
cross_module_links	5	source_entity_id	uuid	t	
cross_module_links	6	target_module	text	t	
cross_module_links	7	target_entity_type	text	t	
cross_module_links	8	target_entity_id	uuid	t	
cross_module_links	9	link_type	text	t	'reference'::text
cross_module_links	10	metadata	jsonb	t	'{}'::jsonb
cross_module_links	11	created_by	uuid	f	
cross_module_links	12	created_at	timestamp with time zone	t	now()
custom_field_definitions	1	id	uuid	t	gen_random_uuid()
custom_field_definitions	2	tenant_id	uuid	t	
custom_field_definitions	3	entity_type	text	t	
custom_field_definitions	4	field_key	text	t	
custom_field_definitions	5	label	text	t	
custom_field_definitions	6	label_i18n	jsonb	f	
custom_field_definitions	7	help_text	text	f	
custom_field_definitions	8	display_order	integer	t	0
custom_field_definitions	9	field_group	text	f	
custom_field_definitions	10	data_type	text	t	
custom_field_definitions	11	options	jsonb	f	
custom_field_definitions	12	is_required	boolean	t	false
custom_field_definitions	13	validation	jsonb	f	
custom_field_definitions	14	default_value	jsonb	f	
custom_field_definitions	15	is_active	boolean	t	true
custom_field_definitions	16	created_at	timestamp with time zone	t	now()
custom_field_definitions	17	updated_at	timestamp with time zone	t	now()
customers	1	id	uuid	t	gen_random_uuid()
customers	2	tenant_id	uuid	t	
customers	3	customer_number	character varying(50)	f	
customers	4	customer_name	character varying(255)	t	
customers	5	display_name	character varying(255)	f	
customers	6	email	character varying(255)	f	
customers	7	phone	character varying(20)	f	
customers	8	website	character varying(255)	f	
customers	9	billing_address	jsonb	f	
customers	10	shipping_address	jsonb	f	
customers	11	currency	character varying(3)	t	
customers	12	payment_terms	character varying(50)	f	'Net 30'::character varying
customers	13	credit_limit	numeric(15,2)	f	
customers	14	tax_number	character varying(100)	f	
customers	15	is_tax_exempt	boolean	f	false
customers	16	tax_rate_id	uuid	f	
customers	17	ar_account_id	uuid	f	
customers	18	is_active	boolean	f	true
customers	19	portal_enabled	boolean	f	false
customers	20	portal_access_token	character varying(255)	f	
customers	21	notes	text	f	
customers	22	custom_fields	jsonb	f	
customers	23	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
customers	24	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
customers	25	created_by	uuid	f	
customers	26	updated_by	uuid	f	
employee_assets	1	id	uuid	t	gen_random_uuid()
employee_assets	2	tenant_id	uuid	t	
employee_assets	3	asset_id	text	f	
employee_assets	4	employee_id	uuid	t	
employee_assets	5	asset_type	text	t	
employee_assets	6	make_model	text	t	
employee_assets	7	serial_number	text	f	
employee_assets	8	asset_tag	text	f	
employee_assets	9	assigned_date	date	t	
employee_assets	10	return_date	date	f	
employee_assets	11	condition	text	f	'good'::text
employee_assets	12	notes	text	f	
employee_assets	13	created_at	timestamp with time zone	t	now()
employee_assets	14	updated_at	timestamp with time zone	t	now()
employee_bank_accounts	1	id	uuid	t	gen_random_uuid()
employee_bank_accounts	2	tenant_id	uuid	t	
employee_bank_accounts	3	employee_id	uuid	t	
employee_bank_accounts	4	account_holder_name	text	t	
employee_bank_accounts	5	bank_name	text	t	
employee_bank_accounts	6	branch_name	text	f	
employee_bank_accounts	7	country	character varying(2)	t	
employee_bank_accounts	8	currency	character varying(3)	t	
employee_bank_accounts	9	account_type	text	t	'checking'::text
employee_bank_accounts	10	account_number_encrypted	text	t	
employee_bank_accounts	11	account_number_last4	character varying(4)	f	
employee_bank_accounts	17	is_primary	boolean	t	false
employee_bank_accounts	18	allocation_type	text	t	'remainder'::text
employee_bank_accounts	19	allocation_value	numeric(12,2)	f	
employee_bank_accounts	20	priority	integer	t	1
employee_bank_accounts	21	verification_status	text	t	'unverified'::text
employee_bank_accounts	22	prenote_sent_at	timestamp with time zone	f	
employee_bank_accounts	23	verified_at	timestamp with time zone	f	
employee_bank_accounts	24	is_active	boolean	t	true
employee_bank_accounts	25	effective_from	date	t	CURRENT_DATE
employee_bank_accounts	26	effective_to	date	f	
employee_bank_accounts	27	created_at	timestamp with time zone	t	now()
employee_bank_accounts	28	updated_at	timestamp with time zone	t	now()
employee_bank_accounts	29	created_by	uuid	f	
employee_bank_accounts	30	routing_number_ct	text	f	
employee_bank_accounts	31	ifsc_code_ct	text	f	
employee_bank_accounts	32	sort_code_ct	text	f	
employee_bank_accounts	33	iban_ct	text	f	
employee_bank_accounts	34	bic_swift_ct	text	f	
employee_certifications	1	id	uuid	t	gen_random_uuid()
employee_certifications	2	tenant_id	uuid	t	
employee_certifications	3	certification_id	text	f	
employee_certifications	4	employee_id	uuid	t	
employee_certifications	5	certification_name	text	t	
employee_certifications	6	issuing_organization	text	t	
employee_certifications	8	issue_date	date	t	
employee_certifications	9	expiration_date	date	f	
employee_certifications	10	status	text	t	'active'::text
employee_certifications	11	verification_url	text	f	
employee_certifications	12	notes	text	f	
employee_certifications	13	created_at	timestamp with time zone	t	now()
employee_certifications	14	updated_at	timestamp with time zone	t	now()
employee_certifications	15	certification_number_ct	text	f	
employee_group_members	1	id	uuid	t	gen_random_uuid()
employee_group_members	2	tenant_id	uuid	t	
employee_group_members	3	group_name	text	t	
employee_group_members	4	employee_id	uuid	t	
employee_group_members	5	role	text	t	'member'::text
employee_group_members	6	joined_at	timestamp with time zone	t	
employee_group_members	7	joined_by	text	t	
employee_group_members	8	expires_at	timestamp with time zone	f	
employee_group_roles	1	id	uuid	t	gen_random_uuid()
employee_group_roles	2	tenant_id	uuid	t	
employee_group_roles	3	group_role_id	text	f	
employee_group_roles	4	group_name	text	t	
employee_group_roles	5	role_name	text	t	
employee_group_roles	6	department_code	text	f	
employee_group_roles	7	location_code	text	f	
employee_group_roles	8	granted_at	timestamp with time zone	t	
employee_group_roles	9	granted_by	text	t	
employee_group_roles	10	expires_at	timestamp with time zone	f	
employee_training_records	1	id	uuid	t	gen_random_uuid()
employee_training_records	2	tenant_id	uuid	t	
employee_training_records	3	training_record_id	text	f	
employee_training_records	4	employee_id	uuid	t	
employee_training_records	5	training_name	text	t	
employee_training_records	6	training_type	text	t	
employee_training_records	7	provider	text	f	
employee_training_records	8	assigned_date	date	t	
employee_training_records	9	due_date	date	t	
employee_training_records	10	completion_date	date	f	
employee_training_records	11	status	text	t	'not_started'::text
employee_training_records	12	certificate_url	text	f	
employee_training_records	13	expiration_date	date	f	
employee_training_records	14	credits_hours	numeric(18,4)	f	
employee_training_records	15	notes	text	f	
employee_training_records	16	created_at	timestamp with time zone	t	now()
employee_training_records	17	updated_at	timestamp with time zone	t	now()
employee_user_groups	1	id	uuid	t	gen_random_uuid()
employee_user_groups	2	tenant_id	uuid	t	
employee_user_groups	3	group_name	text	f	
employee_user_groups	4	display_name	text	t	
employee_user_groups	5	description	text	f	
employee_user_groups	6	group_type	group_type	t	'custom'::group_type
employee_user_groups	7	parent_group_name	text	f	
employee_user_groups	8	department_code	text	f	
employee_user_groups	9	location_code	text	f	
employee_user_groups	10	approver_id	uuid	t	
employee_user_groups	11	backup_approver_id	uuid	t	
employee_user_groups	12	is_active	boolean	f	true
employee_user_groups	13	is_system_group	boolean	f	false
employee_user_groups	14	created_at	timestamp with time zone	t	now()
employee_user_groups	15	updated_at	timestamp with time zone	t	now()
employee_user_groups	16	created_by	text	t	
employees	1	id	uuid	t	gen_random_uuid()
employees	2	tenant_id	uuid	t	
employees	3	employee_id	text	f	
employees	4	first_name	text	t	
employees	5	last_name	text	t	
employees	6	middle_name	text	f	
employees	7	preferred_name	text	f	
employees	8	email	text	t	
employees	9	phone	text	f	
employees	10	employee_number	text	f	
employees	11	gender	gender	f	
employees	12	marital_status	marital_status	f	
employees	14	social_media_links	jsonb	f	'{}'::jsonb
employees	15	timezone	text	f	'America/New_York'::text
employees	16	employment_status	employment_status	t	'active'::employment_status
employees	17	employment_type	text	t	'full_time'::text
employees	18	start_date	date	t	
employees	19	end_date	date	f	
employees	20	department_code	text	f	
employees	21	job_title	text	f	
employees	22	job_level	text	f	
employees	23	manager_id	uuid	f	
employees	24	location_code	text	f	
employees	25	pay_frequency	pay_frequency	f	'bi-weekly'::pay_frequency
employees	26	compensation_band	text	f	
employees	27	pronouns	pronouns	f	
employees	28	profile_picture	text	f	
employees	29	prior_employers	jsonb	f	'[]'::jsonb
employees	30	prior_education	jsonb	f	'[]'::jsonb
employees	31	hobbies	jsonb	f	'[]'::jsonb
employees	32	affinity_groups	jsonb	f	'[]'::jsonb
employees	33	introduction	text	f	
employees	34	birth_date	date	f	
employees	35	celebration_preferences	jsonb	f	'{}'::jsonb
employees	36	custom_fields	jsonb	f	'{}'::jsonb
employees	37	is_active	boolean	f	true
employees	38	created_at	timestamp with time zone	t	now()
employees	39	updated_at	timestamp with time zone	t	now()
employees	40	created_by	text	t	
employees	41	version	integer	f	1
employees	42	compensation_type	text	f	
employees	43	base_amount	numeric(18,4)	f	
employees	44	currency	text	f	'USD'::text
employees	45	overtime_eligible	boolean	f	false
employees	46	default_hourly_rate	numeric(18,4)	f	
employees	47	default_billable_rate	numeric(18,4)	f	
employees	48	pto_balances	jsonb	f	'{}'::jsonb
employees	49	tax_withholding	jsonb	f	'{}'::jsonb
employees	50	salary_structure	jsonb	f	'{}'::jsonb
employees	51	variable_compensation	jsonb	f	'[]'::jsonb
employees	52	benefits_elections	jsonb	f	'{}'::jsonb
employees	53	fte	numeric(18,4)	f	1.00
employees	54	ssn_tax_id_ct	text	f	
employment_terms	1	id	uuid	t	gen_random_uuid()
employment_terms	2	tenant_id	uuid	t	
employment_terms	3	employee_id	uuid	t	
employment_terms	4	employment_type	employment_type	t	
employment_terms	5	start_date	date	t	
employment_terms	6	planned_end_date	date	f	
employment_terms	7	actual_end_date	date	f	
employment_terms	8	contract_type	text	f	
employment_terms	9	renewal_option	boolean	f	false
employment_terms	10	probation_period_days	integer	f	90
employment_terms	11	probation_end_date	date	f	
employment_terms	12	notice_period_days	integer	f	
employment_terms	13	work_authorization_type	work_authorization_type	f	
employment_terms	14	work_authorization_expiry	date	f	
employment_terms	15	fte	numeric(4,2)	f	1.00
employment_terms	16	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
employment_terms	17	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
exchange_rates	1	id	uuid	t	gen_random_uuid()
exchange_rates	2	from_currency	character varying(3)	t	
exchange_rates	3	to_currency	character varying(3)	t	
exchange_rates	4	rate_date	date	t	
exchange_rates	5	rate	numeric(12,6)	t	
exchange_rates	6	inverse_rate	numeric(12,6)	t	
exchange_rates	7	source	character varying(50)	t	
exchange_rates	8	is_manual	boolean	f	false
exchange_rates	9	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
exchange_rates	10	created_by	uuid	f	
expenses	1	id	uuid	t	gen_random_uuid()
expenses	2	tenant_id	uuid	t	
expenses	3	employee_id	uuid	t	
expenses	4	expense_date	date	t	
expenses	5	vendor_name	character varying(255)	f	
expenses	6	vendor_id	uuid	f	
expenses	7	currency	character varying(3)	t	
expenses	8	amount	numeric(15,2)	t	
expenses	9	exchange_rate	numeric(12,6)	f	1.0
expenses	10	base_amount	numeric(15,2)	t	
expenses	11	category_account_id	uuid	t	
expenses	12	receipt_url	text	f	
expenses	13	receipt_ocr_data	jsonb	f	
expenses	14	description	text	f	
expenses	15	expense_type	character varying(50)	f	'general'::character varying
expenses	16	mileage_distance	numeric(10,2)	f	
expenses	17	mileage_rate	numeric(10,4)	f	
expenses	18	is_reimbursable	boolean	f	true
expenses	19	reimbursement_status	reimbursement_status	f	'pending'::reimbursement_status
expenses	20	approved_by	uuid	f	
expenses	21	approved_at	timestamp with time zone	f	
expenses	22	rejection_reason	text	f	
expenses	23	bill_id	uuid	f	
expenses	24	payment_id	uuid	f	
expenses	25	tracking_categories	jsonb	f	
expenses	26	department_id	uuid	f	
expenses	27	journal_entry_id	uuid	f	
